,Avoid,Paved
0.5,141.1350073916768,96.90844980868516
0.55,147.38123863900523,99.94140410471135
0.6000000000000001,139.09016846636487,108.04870273721463
0.6500000000000001,125.70803637422469,104.78404265414754
0.7000000000000002,135.96987734650085,103.19804354864775
0.7500000000000002,128.96507290268175,103.07321069723042
0.8000000000000003,122.39502039020178,102.66507385762247
0.8500000000000003,148.281482878993,100.7252322179477
0.9000000000000004,152.74782130098052,98.95295560737507
0.9500000000000004,162.0546488852142,102.4821013914152
1.0,151.02038562633345,102.5232303840694
