,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,1.3337459564208984,1.127399206161499,1.8115830421447754,3.0028185844421387,1.5431065559387207,3.288383960723877,0.9881167411804199,4.416015863418579,1.8126306533813477,3.0268349647521973
Number of paths,0.0,0.0,1.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0
Average paths badness,,,44.629628628407545,43.32465683843884,19.05155413054399,36.6916660800573,,34.5159369169402,31.490486820006936,32.91119099785874
Avg. number of stoplights,,,0.0,0.0,1.0,0.0,,0.0,8.0,4.0
Avg. number of steps,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Avg. number of paved edges,,,8.0,5.0,26.0,4.0,,13.8,21.0,22.0
Avg. number of unpaved edges,,,0.0,0.0,0.0,0.0,,3.2,0.0,0.0
Avg. number of edges with unknown surface,,,23.0,15.0,22.0,15.0,,28.4,30.0,34.0
