,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,11.217447757720947,8.968103885650635,17.936550617218018,6.950573444366455,10.893675565719604,23.812639236450195,8.014120817184448,5.693093776702881,6.066131353378296,9.533706426620483,10.000226974487305,5.524073123931885,6.896596670150757,10.349369525909424,11.891960620880127,6.848668575286865,13.243782758712769,13.462073564529419,3.4065823554992676,1.822493076324463
Number of paths,4.0,5.0,10.0,2.0,0.0,10.0,1.0,1.0,2.0,12.0,2.0,4.0,5.0,5.0,5.0,1.0,4.0,2.0,1.0,0.0
Average paths badness,64.17563213589642,85.57067644644994,76.15489770450695,111.97982854033899,,48.30189409434979,97.08217959181184,59.831395162435,45.06231517211336,99.91606248051175,94.43277278287269,54.162746887043795,39.65740296946642,90.33924635479453,75.7668118868747,96.20274482073364,43.45710128638416,102.37287274792288,61.73322110123081,
Avg. number of stoplights,15.25,4.2,14.0,3.0,,30.8,8.0,10.0,13.5,8.583333333333334,2.0,16.25,18.2,7.2,8.6,0.0,19.75,1.0,17.0,
Avg. number of steps,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Avg. number of paved edges,40.75,50.8,42.0,9.5,,68.2,41.0,38.0,75.0,21.833333333333332,20.5,51.25,82.4,25.8,44.8,14.0,74.75,21.0,39.0,
Avg. number of unpaved edges,0.0,6.0,0.0,0.5,,0.0,6.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.2,0.0,0.4,0.0,1.25,0.5,0.0,
Avg. number of edges with unknown surface,34.25,64.0,53.4,38.5,,50.6,60.0,38.0,48.0,44.916666666666664,54.0,47.5,40.6,47.0,54.4,28.0,46.5,49.5,30.0,
