,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,5.372262001037598,1.4700932502746582,11.369938135147095,2.3965511322021484,4.231920480728149,4.862083911895752,1.287559986114502,9.63648509979248,5.874762535095215,3.310537576675415
Number of paths,13.0,3.0,12.0,1.0,8.0,23.0,0.0,13.0,17.0,12.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Avg. number of stoplights,4.615384615384615,4.333333333333333,5.083333333333333,0.0,0.75,0.0,,0.3076923076923077,6.882352941176471,4.333333333333333
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Avg. number of paved edges,34.84615384615385,16.0,12.416666666666666,5.0,22.5,6.130434782608695,,13.615384615384615,18.11764705882353,21.666666666666668
Avg. number of unpaved edges,0.07692307692307693,0.6666666666666666,0.0,0.0,0.0,0.391304347826087,,3.923076923076923,0.0,0.0
Avg. number of edges with unknown surface,21.46153846153846,16.666666666666668,27.25,15.0,24.75,15.217391304347826,,27.307692307692307,22.764705882352942,31.833333333333332
