,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,21.409438848495483,60.615333795547485,89.38452672958374,23.421018838882446,17.90219807624817,137.01952624320984,42.85848522186279,45.09359788894653,41.294928550720215,29.116209030151367,52.50971293449402,16.891645193099976,71.45599889755249,59.4408118724823,52.4936842918396,17.888235807418823,91.07382154464722,47.73196339607239,23.99876856803894,25.994541883468628
Number of paths,0.0,1.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,8.0,1.0,1.0
Average paths badness,,226.6509577792658,130.57793911403587,,,183.49104886566892,,250.2471038217136,,,,,176.65050724249946,193.94940069396944,193.61084400311302,,231.65435936240738,282.66665604670766,242.76586762340776,247.38351373254955
Avg. number of stoplights,,69.0,88.0,,,61.2,,14.0,,,,,57.333333333333336,77.0,57.0,,31.5,26.125,43.0,31.0
Avg. number of steps,,0.0,0.0,,,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Avg. number of paved edges,,144.0,213.0,,,143.2,,71.0,,,,,158.66666666666666,138.0,122.0,,97.0,76.0,70.0,94.0
Avg. number of unpaved edges,,14.0,0.5,,,0.6,,3.5,,,,,0.3333333333333333,0.0,0.0,,2.0,2.5,0.0,5.0
Avg. number of edges with unknown surface,,147.0,159.5,,,134.8,,129.5,,,,,121.33333333333333,146.0,112.0,,85.5,105.25,91.0,135.0
