,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,25.123082637786865,78.77690696716309,104.1687240600586,26.89798641204834,20.589632034301758,173.777818441391,57.274874448776245,54.38465976715088,51.73522233963013,33.68960666656494,61.53974795341492,18.130635976791382,86.37297034263611,68.22345900535583,61.579692363739014,19.327212810516357,110.72560048103333,58.8737633228302,27.166561603546143,29.76290798187256
Number of paths,0.0,2.0,3.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0,1.0,0.0,6.0,1.0,3.0,0.0,4.0,8.0,1.0,1.0
Average paths badness,,230.63984991027337,135.58573500777857,,,186.99692415450227,129.66253432339,242.97606722940873,,,231.30225345031795,,149.09620771465688,193.94940069396944,209.95969006599685,,194.10898489931333,282.66665604670766,242.76586762340776,247.38351373254955
Avg. number of stoplights,,66.0,82.66666666666667,,,65.83333333333333,60.0,28.2,,,74.0,,71.16666666666667,77.0,47.0,,49.5,26.125,43.0,31.0
Avg. number of steps,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Avg. number of paved edges,,138.5,205.66666666666666,,,147.5,196.0,86.8,,,139.0,,193.16666666666666,138.0,115.0,,127.5,76.0,70.0,94.0
Avg. number of unpaved edges,,14.0,0.3333333333333333,,,0.6666666666666666,0.0,3.0,,,3.0,,0.16666666666666666,0.0,0.3333333333333333,,1.25,2.5,0.0,5.0
Avg. number of edges with unknown surface,,152.0,161.33333333333334,,,145.16666666666666,101.0,121.8,,,149.0,,121.83333333333333,146.0,121.66666666666667,,100.75,105.25,91.0,135.0
