,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,3.5484132766723633,2.999767780303955,6.4687910079956055,8.49083924293518,3.867738962173462,13.751182794570923,2.876314878463745,1.530466079711914,3.383165121078491,6.29802393913269,13.018490552902222,3.6121416091918945,3.712592601776123,10.238726615905762,3.892744779586792,2.4853692054748535,3.049344539642334,4.290984392166138,1.168550968170166,1.0912930965423584
Number of paths,6.0,1.0,17.0,28.0,22.0,9.0,10.0,3.0,7.0,14.0,34.0,6.0,8.0,13.0,14.0,2.0,3.0,9.0,0.0,0.0
Average paths badness,34.27567735687061,0.0,20.26344499841267,3.742679950175995,0.0,17.824268623920034,10.583801073399991,5.116372150218012,0.4381030272640731,1.4345906580026946,4.205226733891543,17.199549804447997,16.28087324987615,5.5019224326402725,11.671149773121263,12.238512774466471,27.527180769937484,1.0801261264125515,,
Avg. number of stoplights,7.666666666666667,0.0,5.529411764705882,1.6428571428571428,0.0,5.444444444444445,2.7,3.6666666666666665,0.5714285714285714,0.2857142857142857,2.3823529411764706,6.0,4.0,3.3076923076923075,3.0,2.0,5.333333333333333,0.4444444444444444,,
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Avg. number of paved edges,11.333333333333334,53.0,17.176470588235293,3.1785714285714284,6.0,32.111111111111114,19.9,16.333333333333332,23.285714285714285,13.857142857142858,6.352941176470588,26.166666666666668,36.25,12.461538461538462,19.928571428571427,5.0,21.666666666666668,4.0,,
Avg. number of unpaved edges,0.0,0.0,0.0,0.25,0.4090909090909091,0.0,0.0,0.6666666666666666,0.0,3.642857142857143,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,,
Avg. number of edges with unknown surface,21.166666666666668,20.0,22.235294117647058,25.321428571428573,15.227272727272727,21.11111111111111,33.3,16.666666666666668,24.0,27.0,15.911764705882353,21.5,21.375,27.384615384615383,23.357142857142858,19.5,20.666666666666668,27.444444444444443,,
