,Avoid,Paved
0,159.01995137697836,91.06588933044222
5,159.01995137697836,91.06588933044222
10,159.01995137697836,91.06588933044222
15,159.01995137697836,91.06588933044222
20,162.15710943330018,92.80144049011257
25,162.15710943330018,93.94427086916453
30,162.15710943330006,92.06017637821485
35,166.96305394991998,93.27652536495738
40,163.9649614319563,91.5884826927715
45,163.9649614319563,91.5884826927715
50,164.01639574788416,94.78590330111629
