,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,90.76613879203796,81.5814299583435,79.53242254257202,65.34364295005798,60.75790619850159,50.36296105384827,49.976728439331055,46.10136842727661,44.93814563751221,38.843242168426514,38.34050416946411
Number of paths,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0
Average paths badness,2928.3799242927416,2928.3799242927416,2928.3799242927416,2928.3799242927416,2928.3799242927416,2928.3799242927416,2928.3799242927416,2928.3799242927416,2969.558923798921,2964.2372982774614,2964.2372982774614
