,0,5,10,15,20,25,30,35,40,45,50
Elapsed time,314.92945981025696,278.0480360984802,253.61245369911194,215.39737462997437,198.3347508907318,173.28603744506836,160.6526815891266,148.33976697921753,141.26678228378296,134.59900856018066,128.63618898391724
Number of paths,39.0,39.0,39.0,38.0,37.0,38.0,36.0,35.0,37.0,36.0,34.0
