,Neutral,Avoid,Paved,Mean,Mean Change
0,258.06362533569336,258.06362533569336,297.0279424190521,271.0517310301463,
5,228.9814133644104,228.9814133644104,262.2950222492218,240.08594965934753,-30.965781370798766
10,207.38426518440247,207.38426518440247,235.7713499069214,216.84662675857544,-23.239322900772095
15,176.25333738327026,176.25333738327026,200.58664727210999,184.36444067955017,-32.48218607902527
20,167.91069412231445,167.91069412231445,180.268616437912,172.03000156084696,-12.334439118703216
25,149.54428458213806,149.54428458213806,158.72158074378967,152.6033833026886,-19.426618258158356
30,140.93126106262207,140.93126106262207,150.55689525604248,144.1398057937622,-8.463577508926392
35,125.55742335319519,125.55742335319519,134.21873450279236,128.44452706972757,-15.695278724034637
40,125.52596640586853,125.52596640586853,131.69636797904968,127.58276693026225,-0.8617601394653178
45,119.04435539245605,119.04435539245605,123.65979790687561,120.5828362305959,-6.999930699666351
50,114.83284997940063,114.83284997940063,117.86475419998169,115.84348471959431,-4.739351511001587
