,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,43.38815879821777,129.05748629570007,168.01726245880127,46.998836040496826,27.459558248519897,282.05253434181213,97.66810274124146,78.90368747711182,76.30256056785583,54.40466332435608,80.7505795955658,25.03095269203186,123.1697347164154,99.82783341407776,89.48156499862671,30.952842950820923,162.65638780593872,91.78721022605896,46.737464427948,42.68811321258545
Number of paths,2.0,10.0,10.0,1.0,0.0,17.0,4.0,7.0,1.0,5.0,4.0,0.0,10.0,8.0,8.0,0.0,6.0,11.0,2.0,3.0
Average paths badness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of stoplights,33.0,52.8,70.7,24.0,0.0,66.29411764705883,57.25,23.857142857142858,16.0,36.4,79.0,0.0,62.6,69.125,42.625,0.0,57.0,32.81818181818182,19.0,27.333333333333332
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of paved edges,68.5,131.4,165.5,36.0,0.0,138.94117647058823,163.5,81.0,42.0,118.6,155.5,0.0,170.2,150.75,113.75,0.0,153.33333333333334,84.9090909090909,55.5,93.66666666666667
Avg. number of unpaved edges,0.0,6.9,2.8,3.0,0.0,1.0,0.75,6.0,2.0,1.0,0.5,0.0,1.4,1.25,0.5,0.0,2.1666666666666665,3.090909090909091,1.0,7.0
Avg. number of edges with unknown surface,103.0,151.4,147.6,93.0,0.0,137.76470588235293,114.0,126.85714285714286,99.0,121.6,140.75,0.0,129.7,138.625,128.375,0.0,115.33333333333333,117.36363636363636,105.5,129.33333333333334
