,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,33.44338417053223,127.2494752407074,128.59736943244934,42.75276207923889,28.229085683822632,202.7717878818512,91.86401724815369,76.90620756149292,63.70780062675476,62.61976456642151,80.60453987121582,23.662603855133057,121.82803654670715,95.91982007026672,82.92066526412964,28.862025022506714,132.59913754463196,97.69101619720459,48.19767475128174,43.25310254096985
Number of paths,0.0,7.0,8.0,0.0,2.0,10.0,3.0,10.0,1.0,4.0,2.0,1.0,6.0,7.0,8.0,0.0,3.0,17.0,1.0,3.0
Average paths badness,0.0,132.63037891266944,216.20482017957784,0.0,91.92766408933494,238.53035411268266,149.31126630146355,112.4065037393555,130.7407175878543,110.16054578534477,193.27125885265195,241.27271869461947,170.83612841100543,198.07025079525894,177.42831279266943,0.0,201.88011217080748,150.03441016914599,95.6183545467502,83.75187565900524
Avg. number of stoplights,0.0,34.42857142857143,54.375,0.0,18.5,58.0,50.333333333333336,22.6,16.0,27.75,51.0,50.0,43.0,52.142857142857146,37.125,0.0,37.0,33.529411764705884,12.0,18.666666666666668
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avg. number of paved edges,0.0,129.0,157.0,0.0,85.5,158.3,198.33333333333334,99.4,42.0,109.75,133.0,177.0,148.0,131.42857142857142,128.125,0.0,121.33333333333333,105.70588235294117,40.0,91.66666666666667
Avg. number of unpaved edges,0.0,5.0,2.625,0.0,0.0,1.2,0.3333333333333333,4.0,2.0,0.75,3.5,2.0,3.8333333333333335,1.8571428571428572,2.375,0.0,3.0,2.764705882352941,0.0,8.0
Avg. number of edges with unknown surface,0.0,151.71428571428572,153.875,0.0,123.0,143.7,129.0,124.2,99.0,123.75,160.5,135.0,128.66666666666666,134.42857142857142,127.625,0.0,96.0,123.47058823529412,101.0,131.33333333333334
