,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,9.560379981994629,5.7231738567352295,12.591516256332397,5.916544198989868,7.857255697250366,15.870148420333862,3.6419999599456787,2.2846391201019287,4.028518915176392,5.436023712158203,6.53601861000061,3.961374044418335,3.9840474128723145,11.287731885910034,10.14273476600647,6.194659471511841,8.364923477172852,8.581021547317505,3.758507251739502,1.3932654857635498
Number of paths,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Average paths badness,,,1458.340821172169,,,,,1490.1359042103359,,1502.3378675348931,,,1513.8718723981256,,1491.871359885794,,,,,
Avg. number of stoplights,,,26.0,,,,,10.0,,16.0,,,14.0,,22.0,,,,,
Avg. number of steps,,,0.0,,,,,0.0,,0.0,,,0.0,,0.0,,,,,
Avg. number of paved edges,,,45.0,,,,,34.0,,21.0,,,76.0,,54.0,,,,,
Avg. number of unpaved edges,,,0.0,,,,,0.0,,0.0,,,0.0,,2.0,,,,,
Avg. number of edges with unknown surface,,,40.0,,,,,38.0,,54.0,,,20.0,,56.0,,,,,
