,"(16.40444240764465, 48.19675190787102)","(16.253945507310487, 48.20105010790031)","(16.37813870758685, 48.148956507776205)","(16.464780107778022, 48.216526607903326)","(16.405046007645307, 48.25367790798799)","(16.445702807736403, 48.15301310777529)","(16.471234207791944, 48.250879907973)","(16.400306307636036, 48.140493807755746)","(16.380436907591758, 48.16821060781559)","(16.40367340764266, 48.22140610792185)"
Elapsed time,5.0812108516693115,3.2055389881134033,6.707405090332031,3.6119375228881836,2.9547910690307617,4.7820093631744385,2.6946442127227783,7.240454196929932,11.605509757995605,5.205941438674927
Number of paths,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0
Average paths badness,65.0105589761503,24.680328026556708,9.994824721058649,8.660213108236348,52.39951645480323,,,34.168803530887544,45.90957767281907,18.042513655347648
Avg. number of stoplights,18.0,5.0,4.0,6.0,12.0,,,7.0,10.0,6.0
Avg. number of steps,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Avg. number of paved edges,88.66666666666667,37.5,29.0,10.0,74.0,,,27.0,42.5,37.0
Avg. number of unpaved edges,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.0
Avg. number of edges with unknown surface,35.333333333333336,43.0,55.0,40.0,50.0,,,48.0,56.5,62.0
