,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,16.114665269851685,26.51564931869507,48.65226435661316,13.059827089309692,6.757340431213379,68.90196490287781,23.65514588356018,19.12721824645996,20.951701164245605,16.766159772872925,26.05651545524597,8.097573041915894,39.338722944259644,19.69316291809082,20.147529363632202,9.956799983978271,41.38864874839783,30.117238521575928,15.390604972839355,16.018487453460693
Number of paths,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Average paths badness,,,4130.890189264701,,,,,,,,,,,,,,,4618.1115977671125,,
Avg. number of stoplights,,,110.0,,,,,,,,,,,,,,,25.0,,
Avg. number of steps,,,0.0,,,,,,,,,,,,,,,0.0,,
Avg. number of paved edges,,,169.0,,,,,,,,,,,,,,,68.0,,
Avg. number of unpaved edges,,,0.0,,,,,,,,,,,,,,,3.0,,
Avg. number of edges with unknown surface,,,136.0,,,,,,,,,,,,,,,94.0,,
