Distance,State,Elapsed time,N Paths,N stoplights,N steps,N paved edges,N unpaved edges,N unknown edge surfaces,Path badness
2000,neutral,3.296587951183319,7.8,3.814085281373273,0.0,13.350857079329302,0.7507812791256814,19.905656060993117,
2000,avoid,3.2921518206596376,7.82,3.3067082797335123,0.0,13.290557715501976,0.7634458833254014,20.201901208245523,12.97314092195047
2000,prefer,3.3478959441184997,7.88,3.861565377642077,0.0,13.985652748867269,0.6929052483464248,19.618059931502422,35.315792053233814
2000,paved,2.9447220945358277,7.44,4.538066569075428,0.0,13.626169075467246,0.8120663073076787,20.023467169213696,616.8478484097033
5000,neutral,12.426762835979462,8.4,12.817191481352534,0.0136363636363636,36.87999811583427,1.1475589464332825,43.94091420875157,
5000,avoid,11.766489396095276,7.25,10.657433814681903,0.0,37.190007788291815,1.1681036295008531,44.3605851161148,42.45375529448496
5000,prefer,11.208658576011658,6.98,12.798242957179712,0.0117647058823529,38.76207602291281,0.845783491312341,42.66654682181742,76.11956691785508
5000,paved,6.150088968276978,3.89,14.35624017510552,0.0259740259740259,35.54392619038894,1.020785140658688,44.904256916850905,1514.0175915184263
10000,neutral,57.42073362350464,10.27,28.31049050198821,0.002127659574468,73.5814093113838,2.616089278790827,84.60911526098616,
10000,avoid,51.55739524364471,8.85,21.92824484547615,0.0037453183520599,72.61527209032548,2.7677351002466555,85.90712164459046,96.11007651339666
10000,prefer,50.50688029050827,7.82,30.086421935890545,0.0031746031746031,78.75180325605912,1.8585618127724872,81.15301848599586,146.87451274890418
10000,paved,18.533750281333923,1.96,37.336213422279,0.0,80.0224286187401,2.5628640030279373,83.56649043124453,2958.1205977737573
15000,neutral,137.96215648412704,9.95,46.85396294969693,0.0224719101123595,113.56294617472672,3.2739202710428046,123.22699897103018,
15000,avoid,121.48502400875093,6.86,36.783179717759246,0.0,116.36971159273894,3.6756606646650383,125.94546548565778,156.9194774381388
15000,prefer,117.2721685743332,6.76,50.47466722791376,0.0,127.4649932612778,2.9253886046894615,120.5786303802012,210.99316731584568
15000,paved,34.67793538093567,0.77,58.87612612612613,0.0,115.69594594594597,2.6013513513513513,126.73873873873876,4422.152825330644
