,Neutral,Avoid,Paved,Mean,Mean Change
50,25.075472116470337,25.075472116470337,24.019763708114624,24.7235693136851,
55,24.216273069381714,24.216273069381714,22.488342761993408,23.640296300252277,-1.083273013432823
60,21.8908748626709,21.8908748626709,21.043903350830078,21.608551025390625,-2.0317452748616525
65,21.818708658218384,21.818708658218384,21.149139642715454,21.595518986384075,-0.013032039006549923
70,21.158292770385742,21.158292770385742,20.571819305419922,20.962801615397137,-0.6327173709869385
75,18.560250997543335,18.560250997543335,18.66742992401123,18.595977306365967,-2.36682430903117
80,17.932074546813965,17.932074546813965,18.257723093032837,18.040624062220257,-0.5553532441457101
85,17.221251487731934,17.221251487731934,16.414087533950806,16.952196836471558,-1.088427225748699
90,15.510561227798462,15.510561227798462,16.093994617462158,15.705039024353027,-1.2471578121185303
95,15.351596117019653,15.351596117019653,15.577837705612183,15.42700997988383,-0.2780290444691982
100,15.0497887134552,15.0497887134552,14.199564695358276,14.766380707422892,-0.6606292724609375
105,12.660375595092773,12.660375595092773,13.631870985031128,12.984207391738892,-1.782173315684
110,12.304868459701538,12.304868459701538,12.811063051223755,12.473599990208944,-0.5106074015299473
115,11.614592552185059,11.614592552185059,12.616164684295654,11.948449929555258,-0.5251500606536865
120,11.270882368087769,11.270882368087769,12.137858390808105,11.559874375661215,-0.38857555389404297
125,10.42595648765564,10.42595648765564,10.651670455932617,10.501194477081299,-1.058679898579916
130,10.339725017547607,10.339725017547607,12.252551555633545,10.977333863576254,0.476139386494955
135,10.21945595741272,10.21945595741272,12.176877975463867,10.87192996342977,-0.10540390014648438
140,11.45482873916626,11.45482873916626,10.799546957015991,11.236401478449503,0.3644715150197335
145,9.70685887336731,9.70685887336731,11.254251718521118,10.222656488418579,-1.0137449900309239
150,11.445464611053467,11.445464611053467,10.941896200180054,11.277608474095663,1.054951985677084
155,9.67574691772461,9.67574691772461,10.833268165588379,10.0615873336792,-1.2160211404164638
160,10.836059093475342,10.836059093475342,10.651668071746826,10.774595419565836,0.7130080858866368
165,9.091828346252441,9.091828346252441,11.28360891342163,9.822421868642172,-0.9521735509236642
170,10.060653686523438,10.060653686523438,8.169092178344727,9.430133183797201,-0.3922886848449707
175,10.021285772323608,10.021285772323608,9.949134349822998,9.997235298156738,0.5671021143595372
180,8.351832866668701,8.351832866668701,7.894613742828369,8.199426492055258,-1.7978088061014805
185,10.105477809906006,10.105477809906006,9.592660665512085,9.934538761774698,1.7351122697194405
190,10.068012714385986,10.068012714385986,7.903597831726074,9.346541086832682,-0.5879976749420166
195,9.98427128791809,9.98427128791809,9.690607786178589,9.886383454004923,0.5398423671722412
200,8.108056545257568,8.108056545257568,9.511526107788086,8.57587973276774,-1.3105037212371826
