,"(16.443447207730436, 48.25007550797526)","(16.353312907531738, 48.156428907795)","(16.380436907591758, 48.16821060781559)","(16.47524410780097, 48.23643310794278)","(16.445702807736403, 48.15301310777529)","(16.368843307565655, 48.20433550789153)","(16.40367340764266, 48.22140610792185)","(16.253945507310487, 48.20105010790031)","(16.405046007645307, 48.25367790798799)","(16.400306307636036, 48.140493807755746)","(16.384675207601315, 48.15072200777897)","(16.26248290733037, 48.13292610775872)","(16.40444240764465, 48.19675190787102)","(16.37813870758685, 48.148956507776205)","(16.289856907390963, 48.151807807794036)","(16.464780107778022, 48.216526607903326)","(16.40294290764141, 48.188088707853424)","(16.373668807576962, 48.147750607774356)","(16.471234207791944, 48.250879907973)","(16.2408277072819, 48.158428807814225)"
Elapsed time,57.94850564002991,127.65074372291565,197.2882435321808,27.971944570541382,19.66368794441223,311.6069486141205,61.275063276290894,48.304625272750854,45.586647272109985,58.22918701171875,92.8495614528656,24.422716856002808,142.9111180305481,121.24696826934814,118.12196731567383,21.275675773620605,143.26070308685303,123.89640378952026,74.60680055618286,23.02155303955078
Number of paths,0.0,3.0,19.0,1.0,2.0,27.0,2.0,8.0,3.0,7.0,11.0,1.0,18.0,1.0,12.0,0.0,7.0,3.0,2.0,7.0
Average paths badness,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Avg. number of stoplights,,23.333333333333332,30.736842105263158,16.0,1.0,51.111111111111114,10.5,15.125,27.333333333333332,20.428571428571427,26.363636363636363,10.0,42.55555555555556,19.0,17.666666666666668,,43.0,14.333333333333334,20.5,5.285714285714286
Avg. number of steps,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Avg. number of paved edges,,85.66666666666667,89.15789473684211,17.0,30.0,120.22222222222223,43.5,51.875,77.33333333333333,48.57142857142857,68.81818181818181,53.0,131.0,56.0,65.16666666666667,,103.28571428571429,50.333333333333336,41.5,30.714285714285715
Avg. number of unpaved edges,,2.0,5.578947368421052,2.0,3.5,0.14814814814814814,7.0,3.125,1.6666666666666667,0.42857142857142855,1.0,11.0,0.7777777777777778,1.0,4.75,,2.5714285714285716,0.3333333333333333,0.0,5.142857142857143
Avg. number of edges with unknown surface,,103.0,103.6842105263158,76.0,66.5,84.11111111111111,92.5,86.375,70.66666666666667,82.0,101.18181818181819,90.0,76.61111111111111,109.0,93.33333333333333,,75.0,98.33333333333333,81.5,78.28571428571429
